 	Text	Types	Tokens	Frequencies	TTR	h-Point	Entropy	Average Tokens Length	R1	Λ (Lambda)	
Dihghmata tou Mixalh Katrakh40.0	Dihghmata tou Mixalh Katrakh40.0	514	1000	[...]	0,514	12	8,062198	4,846	0,804	1,656319	
Dihghmata tou Mixalh Katrakh41.0	Dihghmata tou Mixalh Katrakh41.0	452	1000	[...]	0,452	12	7,858238	4,585	0,79	1,461253	
Dihghmata tou Mixalh Katrakh42.0	Dihghmata tou Mixalh Katrakh42.0	450	1000	[...]	0,45	11	7,955654	4,475	0,8195	1,432278	
Dihghmata tou Mixalh Katrakh43.0	Dihghmata tou Mixalh Katrakh43.0	475	1000	[...]	0,475	12	7,990788	4,769	0,801	1,53067	
Dihghmata tou Mixalh Katrakh44.0	Dihghmata tou Mixalh Katrakh44.0	460	1000	[...]	0,46	12,5	7,851108	4,577	0,794125	1,534753	
Dihghmata tou Mixalh Katrakh45.0	Dihghmata tou Mixalh Katrakh45.0	492	1000	[...]	0,492	12	8,136322	4,797	0,836	1,561807	
Dihghmata tou Mixalh Katrakh46.0	Dihghmata tou Mixalh Katrakh46.0	418	1000	[...]	0,418	12	7,718872	4,327	0,784	1,355945	
Dihghmata tou Mixalh Katrakh47.0	Dihghmata tou Mixalh Katrakh47.0	471	1000	[...]	0,471	11,5	7,921344	4,683	0,794125	1,515255	
Dihghmata tou Mixalh Katrakh48.0	Dihghmata tou Mixalh Katrakh48.0	478	1000	[...]	0,478	12	8,038472	4,836	0,822	1,537864	
Dihghmata tou Mixalh Katrakh49.0	Dihghmata tou Mixalh Katrakh49.0	499	1000	[...]	0,499	11	8,034059	4,721	0,8025	1,594336	
Dihghmata tou Mixalh Katrakh50.0	Dihghmata tou Mixalh Katrakh50.0	477	1000	[...]	0,477	12	7,951419	4,872	0,8	1,530633	
Dihghmata tou Mixalh Katrakh51.0	Dihghmata tou Mixalh Katrakh51.0	439	921	[...]	0,476656	13,333333	7,759559	4,840391	0,774038	1,536154	
